Task,Role,Notes,Status,Estimate (hrs)
SECTION 5 — EXPORTS,Designer,,,
SECTION 4 — ADMIN WORKSPACE (A1 → A9),Designer,,,
SECTION 3 — HOME-HUNTER WORKSPACE (WF-H1 → H7),Designer,,,
SECTION 2 — OWNER WORKSPACE (WF-O1 → WF-O5)WF-O1 — Owner Dashboard (Final Version),Designer,,,
"SECTION 1 — GLOBAL COMPONENTS TO DESIGN
1.1 Sidebar Components",Designer,,,
"SECTION 0 — FOUNDATIONS (MUST READ BEFORE DESIGN)
0.1 Brand System (Frozen v1)",Designer,,,
F11 — Cost-Control Rules (ongoing) [NOW],Founder,,,
F10 — Delay Google Workspace (business email) [LATER],Founder,,,
F8 — Upgrade to Framer Pro (£20/month) [SOON],Founder,,,
F7 — Buy Dashfolio+ Template (£29–49 one-time) [SOON],Founder,,,
F6 — Buy yalla.house Domain (~£12/year) [NOW],Founder,,,
F4 — Create Free Google Account (NO Workspace yet) [NOW],Founder,,,
F3 — Prepare Hiring Packages (Designer + Developer) [NOW],Founder,,,
F2 — Upload All Wireframes & Documentation [NOW],Founder,,,
F1 — Create Notion Workspace [NOW],Founder,,,
13. Final QA,Developer,,,
12. Legal Pages (Static),Developer,,,
11. Tracking & Analytics,Developer,,,
10. Integrations,Developer,,,
9. Data Model & Database Setup,Developer,,,
8. Calendar System,Developer,,,
7. Messaging (STRICT MVP LOGIC),Developer,,,
6. Admin Workspace,Developer,,,
5. Home-Hunter Workspace,Developer,,,
4. Owner Workspace,Developer,,,
3. Authentication,Developer,,,
2. Core UI + Navigation (Owner + Home-Hunter),Developer,,,
1. Project Setup & Access,Developer,,,
0.3 Deliverables Format,Designer,,,
0.2 Mandatory UI Rules,Designer,,,
⭐F9 — Create Technical Integrations (all free) [SOON],Founder,,,
⭐F5 — Freeze Branding System [NOW],Founder,,,
⭐DEVELOPER TO-DO LIST — PHASE 2 ONLY,Developer,,,
⭐ F12 — Prepare Accounting System [LATER],Founder,,,
⭐ DESIGNER TO-DO LIST — PHASE 2 ONLY,Designer,,,
,Founder,,,